compartment_no,position_cm,speed_cm_s,motor_current_a,sensor_distance_cm,weight_kg,state,actual_condition,event_type
3,34.069,5.75,0.882,36.069,0.663,MOVING_DOWN,normal,TICK
3,33.469,6.0,0.882,35.469,0.663,MOVING_DOWN,normal,TICK
3,32.844,6.25,0.882,34.844,0.663,MOVING_DOWN,normal,TICK
3,32.194,6.5,0.882,34.194,0.663,MOVING_DOWN,normal,TICK
3,31.519,6.75,0.882,33.519,0.663,MOVING_DOWN,normal,TICK
3,30.819,7.0,0.882,32.819,0.663,MOVING_DOWN,normal,TICK
3,30.119,7.0,0.882,32.119,0.663,MOVING_DOWN,normal,TICK
3,29.419,7.0,0.882,31.419,0.663,MOVING_DOWN,normal,TICK
3,28.719,7.0,0.882,30.719,0.663,MOVING_DOWN,normal,TICK
3,28.019,7.0,0.882,30.019,0.663,MOVING_DOWN,normal,TICK
3,27.319,7.0,0.882,29.319,0.663,MOVING_DOWN,normal,TICK
3,26.619,7.0,0.882,28.619,0.663,MOVING_DOWN,normal,TICK
3,25.919,7.0,0.882,27.919,0.663,MOVING_DOWN,normal,TICK
3,25.219,7.0,0.882,27.219,0.663,MOVING_DOWN,normal,TICK
3,25.219,0.0,0.1,27.219,0.663,STOPPED,normal,NORMAL_STOP
3,52.841,0.25,0.74,54.841,0.256,MOVING_DOWN,normal,TICK
3,52.791,0.5,0.74,54.791,0.256,MOVING_DOWN,normal,TICK
3,52.716,0.75,0.74,54.716,0.256,MOVING_DOWN,normal,TICK
3,52.616,1.0,0.74,54.616,0.256,MOVING_DOWN,normal,TICK
3,52.491,1.25,0.74,54.491,0.256,MOVING_DOWN,normal,TICK
3,52.341,1.5,0.74,54.341,0.256,MOVING_DOWN,normal,TICK
3,52.166,1.75,0.74,54.166,0.256,MOVING_DOWN,normal,TICK
3,51.966,2.0,0.74,53.966,0.256,MOVING_DOWN,normal,TICK
3,51.741,2.25,0.74,53.741,0.256,MOVING_DOWN,normal,TICK
3,51.491,2.5,0.74,53.491,0.256,MOVING_DOWN,normal,TICK
3,51.216,2.75,0.74,53.216,0.256,MOVING_DOWN,normal,TICK
3,50.916,3.0,0.74,52.916,0.256,MOVING_DOWN,normal,TICK
3,50.591,3.25,0.74,52.591,0.256,MOVING_DOWN,normal,TICK
3,50.241,3.5,0.74,52.241,0.256,MOVING_DOWN,normal,TICK
3,49.866,3.75,0.74,51.866,0.256,MOVING_DOWN,normal,TICK
3,49.466,4.0,0.74,51.466,0.256,MOVING_DOWN,normal,TICK
3,49.041,4.25,0.74,51.041,0.256,MOVING_DOWN,normal,TICK
3,48.591,4.5,0.74,50.591,0.256,MOVING_DOWN,normal,TICK
3,48.116,4.75,0.74,50.116,0.256,MOVING_DOWN,normal,TICK
3,47.616,5.0,0.74,49.616,0.256,MOVING_DOWN,normal,TICK
3,47.091,5.25,0.74,49.091,0.256,MOVING_DOWN,normal,TICK
3,46.541,5.5,0.74,48.541,0.256,MOVING_DOWN,normal,TICK
3,45.966,5.75,0.74,47.966,0.256,MOVING_DOWN,normal,TICK
3,45.366,6.0,0.74,47.366,0.256,MOVING_DOWN,normal,TICK
3,44.741,6.25,0.74,46.741,0.256,MOVING_DOWN,normal,TICK
3,44.091,6.5,0.74,46.091,0.256,MOVING_DOWN,normal,TICK
3,43.416,6.75,0.74,45.416,0.256,MOVING_DOWN,normal,TICK
3,42.716,7.0,0.74,44.716,0.256,MOVING_DOWN,normal,TICK
3,42.016,7.0,0.74,44.016,0.256,MOVING_DOWN,normal,TICK
3,41.316,7.0,0.74,43.316,0.256,MOVING_DOWN,normal,TICK
3,40.616,7.0,0.74,42.616,0.256,MOVING_DOWN,normal,TICK
3,39.916,7.0,0.74,41.916,0.256,MOVING_DOWN,normal,TICK
3,39.216,7.0,0.74,41.216,0.256,MOVING_DOWN,normal,TICK
3,38.516,7.0,0.74,40.516,0.256,MOVING_DOWN,normal,TICK
3,37.816,7.0,0.74,39.816,0.256,MOVING_DOWN,normal,TICK
3,37.116,7.0,0.74,39.116,0.256,MOVING_DOWN,normal,TICK
3,36.416,7.0,0.74,38.416,0.256,MOVING_DOWN,normal,TICK
3,35.716,7.0,0.74,37.716,0.256,MOVING_DOWN,normal,TICK
3,35.016,7.0,0.74,37.016,0.256,MOVING_DOWN,normal,TICK
3,34.316,7.0,0.74,36.316,0.256,MOVING_DOWN,normal,TICK
3,34.316,0.0,0.1,36.316,0.256,STOPPED,normal,NORMAL_STOP
3,27.606,0.25,0.799,29.606,0.425,MOVING_DOWN,normal,TICK
3,27.556,0.5,0.799,29.556,0.425,MOVING_DOWN,normal,TICK
3,27.481,0.75,0.799,29.481,0.425,MOVING_DOWN,normal,TICK
3,27.381,1.0,0.799,29.381,0.425,MOVING_DOWN,normal,TICK
3,27.256,1.25,0.799,29.256,0.425,MOVING_DOWN,normal,TICK
3,27.106,1.5,0.799,29.106,0.425,MOVING_DOWN,normal,TICK
3,26.931,1.75,0.799,28.931,0.425,MOVING_DOWN,normal,TICK
3,26.731,2.0,0.799,28.731,0.425,MOVING_DOWN,normal,TICK
3,26.506,2.25,0.799,28.506,0.425,MOVING_DOWN,normal,TICK
3,26.256,2.5,0.799,28.256,0.425,MOVING_DOWN,normal,TICK
3,25.981,2.75,0.799,27.981,0.425,MOVING_DOWN,normal,TICK
3,25.681,3.0,0.799,27.681,0.425,MOVING_DOWN,normal,TICK
3,25.356,3.25,0.799,27.356,0.425,MOVING_DOWN,normal,TICK
3,25.006,3.5,0.799,27.006,0.425,MOVING_DOWN,normal,TICK
3,24.631,3.75,0.799,26.631,0.425,MOVING_DOWN,normal,TICK
3,24.231,4.0,0.799,26.231,0.425,MOVING_DOWN,normal,TICK
3,23.806,4.25,0.799,25.806,0.425,MOVING_DOWN,normal,TICK
3,23.356,4.5,0.799,25.356,0.425,MOVING_DOWN,normal,TICK
3,23.356,4.5,0.799,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_INJECTED
3,23.356,3.7,1.299,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_RESPONSE
3,23.356,2.9,1.799,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_RESPONSE
3,23.356,2.1,2.299,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_RESPONSE
3,23.356,1.3,2.799,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_RESPONSE
3,23.356,0.5,3.2,0.5,0.425,MOVING_DOWN,obstruction,OBSTRUCTION_RESPONSE
3,23.356,0.0,3.2,0.5,0.425,FAULT,obstruction,OBSTRUCTION_RESPONSE
3,23.356,0.0,2.7,0.5,0.425,FAULT,obstruction,OBSTRUCTION_FAULT
3,23.356,0.0,2.2,0.5,0.425,FAULT,obstruction,OBSTRUCTION_FAULT
3,23.356,0.0,1.7,0.5,0.425,FAULT,obstruction,OBSTRUCTION_FAULT
3,23.356,0.0,1.2,0.5,0.425,FAULT,obstruction,OBSTRUCTION_FAULT
3,23.356,0.0,0.7,0.5,0.425,FAULT,obstruction,OBSTRUCTION_FAULT
3,26.032,0.25,0.873,28.032,0.637,MOVING_DOWN,normal,TICK
3,25.982,0.5,0.873,27.982,0.637,MOVING_DOWN,normal,TICK
3,25.907,0.75,0.873,27.907,0.637,MOVING_DOWN,normal,TICK
3,25.807,1.0,0.873,27.807,0.637,MOVING_DOWN,normal,TICK
3,25.682,1.25,0.873,27.682,0.637,MOVING_DOWN,normal,TICK
3,25.532,1.5,0.873,27.532,0.637,MOVING_DOWN,normal,TICK
3,25.357,1.75,0.873,27.357,0.637,MOVING_DOWN,normal,TICK
3,25.157,2.0,0.873,27.157,0.637,MOVING_DOWN,normal,TICK
3,24.932,2.25,0.873,26.932,0.637,MOVING_DOWN,normal,TICK
3,24.682,2.5,0.873,26.682,0.637,MOVING_DOWN,normal,TICK
3,24.407,2.75,0.873,26.407,0.637,MOVING_DOWN,normal,TICK
3,24.107,3.0,0.873,26.107,0.637,MOVING_DOWN,normal,TICK
3,23.782,3.25,0.873,25.782,0.637,MOVING_DOWN,normal,TICK
3,23.432,3.5,0.873,25.432,0.637,MOVING_DOWN,normal,TICK
3,23.057,3.75,0.873,25.057,0.637,MOVING_DOWN,normal,TICK
3,22.657,4.0,0.873,24.657,0.637,MOVING_DOWN,normal,TICK
3,22.232,4.25,0.873,24.232,0.637,MOVING_DOWN,normal,TICK
3,21.782,4.5,0.873,23.782,0.637,MOVING_DOWN,normal,TICK
3,21.782,4.5,0.873,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_INJECTED
3,21.782,3.7,1.373,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,21.782,2.9,1.873,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,21.782,2.1,2.373,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,21.782,1.3,2.4,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,21.782,0.5,2.4,23.782,2.0,MOVING_DOWN,overload,OVERLOAD_RESPONSE
3,21.782,0.0,2.4,23.782,2.0,FAULT,overload,OVERLOAD_RESPONSE
3,21.782,0.0,1.9,23.782,2.0,FAULT,overload,OVERLOAD_FAULT
3,21.782,0.0,1.4,23.782,2.0,FAULT,overload,OVERLOAD_FAULT
3,21.782,0.0,0.9,23.782,2.0,FAULT,overload,OVERLOAD_FAULT
3,21.782,0.0,0.4,23.782,2.0,FAULT,overload,OVERLOAD_FAULT
3,21.782,0.0,0.1,23.782,2.0,FAULT,overload,OVERLOAD_FAULT
3,40.048,0.25,0.849,42.048,0.57,MOVING_DOWN,normal,TICK
3,39.998,0.5,0.849,41.998,0.57,MOVING_DOWN,normal,TICK
3,39.923,0.75,0.849,41.923,0.57,MOVING_DOWN,normal,TICK
3,39.823,1.0,0.849,41.823,0.57,MOVING_DOWN,normal,TICK
3,39.698,1.25,0.849,41.698,0.57,MOVING_DOWN,normal,TICK
3,39.548,1.5,0.849,41.548,0.57,MOVING_DOWN,normal,TICK
3,39.373,1.75,0.849,41.373,0.57,MOVING_DOWN,normal,TICK
3,39.173,2.0,0.849,41.173,0.57,MOVING_DOWN,normal,TICK
3,38.948,2.25,0.849,40.948,0.57,MOVING_DOWN,normal,TICK
3,38.698,2.5,0.849,40.698,0.57,MOVING_DOWN,normal,TICK
3,38.423,2.75,0.849,40.423,0.57,MOVING_DOWN,normal,TICK
3,38.123,3.0,0.849,40.123,0.57,MOVING_DOWN,normal,TICK
3,37.798,3.25,0.849,39.798,0.57,MOVING_DOWN,normal,TICK
3,37.448,3.5,0.849,39.448,0.57,MOVING_DOWN,normal,TICK
3,37.073,3.75,0.849,39.073,0.57,MOVING_DOWN,normal,TICK
3,36.673,4.0,0.849,38.673,0.57,MOVING_DOWN,normal,TICK
3,36.248,4.25,0.849,38.248,0.57,MOVING_DOWN,normal,TICK
3,35.798,4.5,0.849,37.798,0.57,MOVING_DOWN,normal,TICK
3,35.323,4.75,0.849,37.323,0.57,MOVING_DOWN,normal,TICK
3,34.823,5.0,0.849,36.823,0.57,MOVING_DOWN,normal,TICK
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOP
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOPPED
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOPPED
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOPPED
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOPPED
3,34.823,0.0,0.1,36.823,0.57,STOPPED,manual_stop,MANUAL_STOPPED
1,54.888,0.25,0.886,56.888,0.675,MOVING_DOWN,normal,TICK
1,54.838,0.5,0.886,56.838,0.675,MOVING_DOWN,normal,TICK
1,54.763,0.75,0.886,56.763,0.675,MOVING_DOWN,normal,TICK
1,54.663,1.0,0.886,56.663,0.675,MOVING_DOWN,normal,TICK
1,54.538,1.25,0.886,56.538,0.675,MOVING_DOWN,normal,TICK
1,54.388,1.5,0.886,56.388,0.675,MOVING_DOWN,normal,TICK
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOP
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOPPED
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOPPED
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOPPED
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOPPED
1,54.388,0.0,0.1,56.388,0.675,STOPPED,manual_stop,MANUAL_STOPPED
1,48.206,0.25,0.822,50.206,0.491,MOVING_DOWN,normal,TICK
1,48.156,0.5,0.822,50.156,0.491,MOVING_DOWN,normal,TICK
1,48.081,0.75,0.822,50.081,0.491,MOVING_DOWN,normal,TICK
1,47.981,1.0,0.822,49.981,0.491,MOVING_DOWN,normal,TICK
1,47.856,1.25,0.822,49.856,0.491,MOVING_DOWN,normal,TICK
1,47.706,1.5,0.822,49.706,0.491,MOVING_DOWN,normal,TICK
1,47.531,1.75,0.822,49.531,0.491,MOVING_DOWN,normal,TICK
1,47.331,2.0,0.822,49.331,0.491,MOVING_DOWN,normal,TICK
1,47.106,2.25,0.822,49.106,0.491,MOVING_DOWN,normal,TICK
1,46.856,2.5,0.822,48.856,0.491,MOVING_DOWN,normal,TICK
1,46.581,2.75,0.822,48.581,0.491,MOVING_DOWN,normal,TICK
1,46.281,3.0,0.822,48.281,0.491,MOVING_DOWN,normal,TICK
1,45.956,3.25,0.822,47.956,0.491,MOVING_DOWN,normal,TICK
1,45.606,3.5,0.822,47.606,0.491,MOVING_DOWN,normal,TICK
1,45.231,3.75,0.822,47.231,0.491,MOVING_DOWN,normal,TICK
1,44.831,4.0,0.822,46.831,0.491,MOVING_DOWN,normal,TICK
1,44.406,4.25,0.822,46.406,0.491,MOVING_DOWN,normal,TICK
1,43.956,4.5,0.822,45.956,0.491,MOVING_DOWN,normal,TICK
1,43.481,4.75,0.822,45.481,0.491,MOVING_DOWN,normal,TICK
1,42.981,5.0,0.822,44.981,0.491,MOVING_DOWN,normal,TICK
1,42.456,5.25,0.822,44.456,0.491,MOVING_DOWN,normal,TICK
1,41.906,5.5,0.822,43.906,0.491,MOVING_DOWN,normal,TICK
1,41.331,5.75,0.822,43.331,0.491,MOVING_DOWN,normal,TICK
1,40.731,6.0,0.822,42.731,0.491,MOVING_DOWN,normal,TICK
1,40.106,6.25,0.822,42.106,0.491,MOVING_DOWN,normal,TICK
1,39.456,6.5,0.822,41.456,0.491,MOVING_DOWN,normal,TICK
1,38.781,6.75,0.822,40.781,0.491,MOVING_DOWN,normal,TICK
1,38.081,7.0,0.822,40.081,0.491,MOVING_DOWN,normal,TICK
1,37.381,7.0,0.822,39.381,0.491,MOVING_DOWN,normal,TICK
1,36.681,7.0,0.822,38.681,0.491,MOVING_DOWN,normal,TICK
1,35.981,7.0,0.822,37.981,0.491,MOVING_DOWN,normal,TICK
1,35.281,7.0,0.822,37.281,0.491,MOVING_DOWN,normal,TICK
1,34.581,7.0,0.822,36.581,0.491,MOVING_DOWN,normal,TICK
1,33.881,7.0,0.822,35.881,0.491,MOVING_DOWN,normal,TICK
1,33.181,7.0,0.822,35.181,0.491,MOVING_DOWN,normal,TICK
1,32.481,7.0,0.822,34.481,0.491,MOVING_DOWN,normal,TICK
1,31.781,7.0,0.822,33.781,0.491,MOVING_DOWN,normal,TICK
1,31.081,7.0,0.822,33.081,0.491,MOVING_DOWN,normal,TICK
1,30.381,7.0,0.822,32.381,0.491,MOVING_DOWN,normal,TICK
1,29.681,7.0,0.822,31.681,0.491,MOVING_DOWN,normal,TICK
1,28.981,7.0,0.822,30.981,0.491,MOVING_DOWN,normal,TICK
1,28.281,7.0,0.822,30.281,0.491,MOVING_DOWN,normal,TICK
1,27.581,7.0,0.822,29.581,0.491,MOVING_DOWN,normal,TICK
1,26.881,7.0,0.822,28.881,0.491,MOVING_DOWN,normal,TICK
1,26.181,7.0,0.822,28.181,0.491,MOVING_DOWN,normal,TICK
1,25.481,7.0,0.822,27.481,0.491,MOVING_DOWN,normal,TICK
1,24.781,7.0,0.822,26.781,0.491,MOVING_DOWN,normal,TICK
1,24.081,7.0,0.822,26.081,0.491,MOVING_DOWN,normal,TICK
1,23.381,7.0,0.822,25.381,0.491,MOVING_DOWN,normal,TICK
1,22.681,7.0,0.822,24.681,0.491,MOVING_DOWN,normal,TICK
1,21.981,7.0,0.822,23.981,0.491,MOVING_DOWN,normal,TICK
1,21.281,7.0,0.822,23.281,0.491,MOVING_DOWN,normal,TICK
1,21.281,0.0,0.1,23.281,0.491,STOPPED,normal,NORMAL_STOP
2,59.9,0.25,0.81,61.9,0.457,MOVING_DOWN,normal,TICK
2,59.85,0.5,0.81,61.85,0.457,MOVING_DOWN,normal,TICK
2,59.775,0.75,0.81,61.775,0.457,MOVING_DOWN,normal,TICK
2,59.675,1.0,0.81,61.675,0.457,MOVING_DOWN,normal,TICK
2,59.55,1.25,0.81,61.55,0.457,MOVING_DOWN,normal,TICK
2,59.4,1.5,0.81,61.4,0.457,MOVING_DOWN,normal,TICK
2,59.225,1.75,0.81,61.225,0.457,MOVING_DOWN,normal,TICK
2,59.025,2.0,0.81,61.025,0.457,MOVING_DOWN,normal,TICK
2,58.8,2.25,0.81,60.8,0.457,MOVING_DOWN,normal,TICK
2,58.55,2.5,0.81,60.55,0.457,MOVING_DOWN,normal,TICK
2,58.275,2.75,0.81,60.275,0.457,MOVING_DOWN,normal,TICK
2,57.975,3.0,0.81,59.975,0.457,MOVING_DOWN,normal,TICK
2,57.65,3.25,0.81,59.65,0.457,MOVING_DOWN,normal,TICK
2,57.3,3.5,0.81,59.3,0.457,MOVING_DOWN,normal,TICK
2,56.925,3.75,0.81,58.925,0.457,MOVING_DOWN,normal,TICK
2,56.525,4.0,0.81,58.525,0.457,MOVING_DOWN,normal,TICK
2,56.1,4.25,0.81,58.1,0.457,MOVING_DOWN,normal,TICK
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOP
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOPPED
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOPPED
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOPPED
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOPPED
2,56.1,0.0,0.1,58.1,0.457,STOPPED,manual_stop,MANUAL_STOPPED
2,32.525,0.25,0.719,34.525,0.197,MOVING_DOWN,normal,TICK
2,32.475,0.5,0.719,34.475,0.197,MOVING_DOWN,normal,TICK
2,32.4,0.75,0.719,34.4,0.197,MOVING_DOWN,normal,TICK
2,32.3,1.0,0.719,34.3,0.197,MOVING_DOWN,normal,TICK
2,32.175,1.25,0.719,34.175,0.197,MOVING_DOWN,normal,TICK
2,32.025,1.5,0.719,34.025,0.197,MOVING_DOWN,normal,TICK
2,31.85,1.75,0.719,33.85,0.197,MOVING_DOWN,normal,TICK
2,31.65,2.0,0.719,33.65,0.197,MOVING_DOWN,normal,TICK
2,31.425,2.25,0.719,33.425,0.197,MOVING_DOWN,normal,TICK
2,31.175,2.5,0.719,33.175,0.197,MOVING_DOWN,normal,TICK
2,30.9,2.75,0.719,32.9,0.197,MOVING_DOWN,normal,TICK
2,30.6,3.0,0.719,32.6,0.197,MOVING_DOWN,normal,TICK
2,30.275,3.25,0.719,32.275,0.197,MOVING_DOWN,normal,TICK
2,29.925,3.5,0.719,31.925,0.197,MOVING_DOWN,normal,TICK
2,29.55,3.75,0.719,31.55,0.197,MOVING_DOWN,normal,TICK
2,29.15,4.0,0.719,31.15,0.197,MOVING_DOWN,normal,TICK
2,28.725,4.25,0.719,30.725,0.197,MOVING_DOWN,normal,TICK
2,28.275,4.5,0.719,30.275,0.197,MOVING_DOWN,normal,TICK
2,27.8,4.75,0.719,29.8,0.197,MOVING_DOWN,normal,TICK
2,27.3,5.0,0.719,29.3,0.197,MOVING_DOWN,normal,TICK
2,26.775,5.25,0.719,28.775,0.197,MOVING_DOWN,normal,TICK
2,26.225,5.5,0.719,28.225,0.197,MOVING_DOWN,normal,TICK
2,25.65,5.75,0.719,27.65,0.197,MOVING_DOWN,normal,TICK
2,25.05,6.0,0.719,27.05,0.197,MOVING_DOWN,normal,TICK
2,24.425,6.25,0.719,26.425,0.197,MOVING_DOWN,normal,TICK
2,23.775,6.5,0.719,25.775,0.197,MOVING_DOWN,normal,TICK
2,23.1,6.75,0.719,25.1,0.197,MOVING_DOWN,normal,TICK
2,22.4,7.0,0.719,24.4,0.197,MOVING_DOWN,normal,TICK
2,21.7,7.0,0.719,23.7,0.197,MOVING_DOWN,normal,TICK
2,21.0,7.0,0.719,23.0,0.197,MOVING_DOWN,normal,TICK
2,20.3,7.0,0.719,22.3,0.197,MOVING_DOWN,normal,TICK
2,19.6,7.0,0.719,21.6,0.197,MOVING_DOWN,normal,TICK
2,18.9,7.0,0.719,20.9,0.197,MOVING_DOWN,normal,TICK
2,18.2,7.0,0.719,20.2,0.197,MOVING_DOWN,normal,TICK
2,17.5,7.0,0.719,19.5,0.197,MOVING_DOWN,normal,TICK
2,16.8,7.0,0.719,18.8,0.197,MOVING_DOWN,normal,TICK
2,16.1,7.0,0.719,18.1,0.197,MOVING_DOWN,normal,TICK
2,15.4,7.0,0.719,17.4,0.197,MOVING_DOWN,normal,TICK
2,14.7,7.0,0.719,16.7,0.197,MOVING_DOWN,normal,TICK
2,14.0,7.0,0.719,16.0,0.197,MOVING_DOWN,normal,TICK
2,13.3,7.0,0.719,15.3,0.197,MOVING_DOWN,normal,TICK
2,12.6,7.0,0.719,14.6,0.197,MOVING_DOWN,normal,TICK
2,11.9,7.0,0.719,13.9,0.197,MOVING_DOWN,normal,TICK
2,11.2,7.0,0.719,13.2,0.197,MOVING_DOWN,normal,TICK
2,10.5,7.0,0.719,12.5,0.197,MOVING_DOWN,normal,TICK
2,9.8,7.0,0.719,11.8,0.197,MOVING_DOWN,normal,TICK
2,9.1,7.0,0.719,11.1,0.197,MOVING_DOWN,normal,TICK
2,8.4,7.0,0.719,10.4,0.197,MOVING_DOWN,normal,TICK
2,7.7,7.0,0.719,9.7,0.197,MOVING_DOWN,normal,TICK
2,7.0,7.0,0.719,9.0,0.197,MOVING_DOWN,normal,TICK
2,6.3,7.0,0.719,8.3,0.197,MOVING_DOWN,normal,TICK
2,5.6,7.0,0.719,7.6,0.197,MOVING_DOWN,normal,TICK
2,4.9,7.0,0.719,6.9,0.197,MOVING_DOWN,normal,TICK
2,4.9,0.0,0.1,6.9,0.197,STOPPED,normal,NORMAL_STOP
1,41.826,0.25,0.869,43.826,0.624,MOVING_DOWN,normal,TICK
1,41.776,0.5,0.869,43.776,0.624,MOVING_DOWN,normal,TICK
1,41.701,0.75,0.869,43.701,0.624,MOVING_DOWN,normal,TICK
1,41.601,1.0,0.869,43.601,0.624,MOVING_DOWN,normal,TICK
1,41.476,1.25,0.869,43.476,0.624,MOVING_DOWN,normal,TICK
1,41.326,1.5,0.869,43.326,0.624,MOVING_DOWN,normal,TICK
1,41.151,1.75,0.869,43.151,0.624,MOVING_DOWN,normal,TICK
1,40.951,2.0,0.869,42.951,0.624,MOVING_DOWN,normal,TICK
1,40.726,2.25,0.869,42.726,0.624,MOVING_DOWN,normal,TICK
1,40.476,2.5,0.869,42.476,0.624,MOVING_DOWN,normal,TICK
1,40.201,2.75,0.869,42.201,0.624,MOVING_DOWN,normal,TICK
1,39.901,3.0,0.869,41.901,0.624,MOVING_DOWN,normal,TICK
1,39.576,3.25,0.869,41.576,0.624,MOVING_DOWN,normal,TICK
1,39.226,3.5,0.869,41.226,0.624,MOVING_DOWN,normal,TICK
1,38.851,3.75,0.869,40.851,0.624,MOVING_DOWN,normal,TICK
1,38.451,4.0,0.869,40.451,0.624,MOVING_DOWN,normal,TICK
1,38.026,4.25,0.869,40.026,0.624,MOVING_DOWN,normal,TICK
1,37.576,4.5,0.869,39.576,0.624,MOVING_DOWN,normal,TICK
1,37.101,4.75,0.869,39.101,0.624,MOVING_DOWN,normal,TICK
